Enhanced Chord Analysis Results
==================================================

Source File: /home/dusitn/Downloads/The Devil's Quiet Hour  (Remastered) (Remix).mp3
Key Signature: B Minor
Total Chord Segments: 948
Analysis Duration: 215.2 seconds

Chord Progression:
--------------------------------------------------
    Time           Chord     Duration
   109.0s             B13         0.1s
   109.0s            BmM7         0.3s
   109.3s            A7#9         0.0s
   109.4s             AM9         0.3s
   109.7s           C#7#9         0.8s
   110.5s           Esus2         0.5s
   110.9s            EmM7         0.0s
   111.0s           Esus4         0.2s
   111.2s           Dsus2         0.0s
   111.2s            Em11         0.0s
   111.2s            EmM7         0.3s
   111.5s            Bm11         0.2s
   111.7s            B7#9         0.0s
   111.7s         D#6sus4         0.0s
   111.7s            EmM7         0.3s
   112.0s        Emaj7#11         0.1s
   112.1s        Bmaj7#11         0.1s
   112.2s        Cmaj7#11         0.6s
   112.7s             BM9         0.2s
   112.9s           Bsus2         0.0s
   112.9s            Bm13         0.0s
   112.9s           Bm6/9         0.0s
   113.0s             GM9         0.0s
   113.0s             GM7         0.0s
   113.0s             GM9         0.6s
   113.6s            D6/9         0.3s
   113.9s             D11         0.1s
   113.9s            BmM7         0.0s
   114.0s            Daug         0.0s
   114.0s            D6/9         0.4s
   114.4s             A13         0.9s
   115.3s             CM9         0.0s
   115.4s          B6sus4         0.5s
   115.8s            Em11         0.3s
   116.1s            Em11         0.0s
   116.1s            C7#9         0.2s
   116.3s            Am13         0.0s
   116.3s            Bm11         0.3s
   116.7s           Bsus2         0.0s
   116.7s           Bm6/9         0.0s
   116.7s            Bm13         0.1s
   116.8s            A6/9         0.3s
   117.2s            Bm11         0.1s
   117.3s            Bm11         0.0s
   117.3s             B11         0.1s
   117.4s             D11         0.1s
   117.5s            BmM7         1.1s
   118.6s             E11         0.6s
   119.2s            Em13         0.1s
   119.4s           Em6/9         0.3s
   119.6s            Gm13         0.8s
   120.4s             G13         0.0s
   120.5s            G7#9         0.0s
   120.5s        Bmaj7#11         0.2s
   120.7s            Bm11         0.0s
   120.7s             B11         0.0s
   120.7s          Badd11         0.2s
   121.0s          B6sus4         0.0s
   121.0s           Bsus2         0.4s
   121.4s            BmM7         0.0s
   121.4s           Bsus4         0.1s
   121.5s             BM9         0.1s
   121.6s            Bm11         0.1s
   121.6s          A6sus4         0.7s
   122.4s            BmM7         0.2s
   122.6s           D7#11         0.0s
   122.6s           F#7#9         0.1s
   122.7s             C11         1.1s
   123.8s             CM7         0.3s
   124.1s             CM7         0.2s
   124.3s             CM9         0.1s
   124.4s            Cm13         0.1s
   124.5s             C13         0.0s
   124.5s            Am11         0.1s
   124.6s           C7#11         0.9s
   125.5s           Bsus4         0.2s
   125.7s             BM9         0.2s
   125.9s             B11         0.1s
   125.9s             BM9         0.3s
   126.2s             B11         0.5s
   126.7s             B11         0.6s
   127.3s            EmM7         0.4s
   127.7s            EmM7         0.3s
   128.0s            Dm11         0.2s
   128.2s             GM9         0.1s
   128.3s          B6sus4         0.2s
   128.5s           Dsus2         0.3s
   128.8s            G7#9         0.0s
   128.8s           E7#11         0.0s
   128.8s       A#maj7#11         0.0s
   128.8s            Bm11         0.0s
   128.9s            G7#9         0.8s
   129.7s          B6sus4         0.2s
   129.9s            Bm11         0.3s
   130.2s             D13         0.1s
   130.4s            BmM7         0.8s
   131.1s             C11         0.2s
   131.3s          E6sus4         1.3s
   132.7s            Am11         0.2s
   132.9s       D#maj7#11         0.0s
   132.9s       A#maj7#11         0.0s
   133.0s            Bm13         0.8s
   133.8s            BmM7         0.1s
   133.9s           Bsus4         0.0s
   133.9s          B6sus4         0.0s
   133.9s            BmM7         0.2s
   134.1s          D6sus4         0.2s
   134.3s            D6/9         0.3s
   134.7s            Bm13         0.4s
   135.0s           Dsus2         0.0s
   135.0s          D6sus4         0.2s
   135.2s          E6sus4         1.1s
   136.3s             GM7         0.3s
   136.6s            EmM7         0.2s
   136.8s          E6sus4         1.5s
   138.3s             D11         0.1s
   138.4s            BmM7         0.2s
   138.6s            BmM7         0.1s
   138.7s             Bm7         0.2s
   138.9s            Bm13         0.0s
   138.9s            Bm11         0.0s
   139.0s            BmM7         0.2s
   139.1s       A#maj7#11         0.1s
   139.2s             D11         0.0s
   139.2s            Bm13         0.2s
   139.4s            BmM7         0.7s
   140.1s          Badd11         0.3s
   140.4s          A6sus4         0.0s
   140.4s             FM9         0.0s
   140.4s       A#maj7#11         0.0s
   140.5s             BM9         0.0s
   140.5s          B6sus4         0.2s
   140.6s           Bsus2         0.0s
   140.7s            Bm11         0.0s
   140.7s            Bm13         0.2s
   140.9s             G11         0.1s
   141.0s        Gmaj7#11         0.0s
   141.0s             D11         0.0s
   141.0s             A11         0.2s
   141.2s            Bm11         1.1s
   142.4s            BmM7         0.1s
   142.5s          D6sus4         0.0s
   142.5s            BmM7         0.1s
   142.6s            Bm13         0.1s
   142.7s             DM7         0.1s
   142.8s             D13         0.0s
   142.8s              D6         0.0s
   142.8s            Daug         0.0s
   142.9s            BmM7         0.1s
   143.0s            Bm13         0.1s
   143.0s            Bm13         0.1s
   143.2s            BmM7         0.5s
   143.6s             AM9         0.5s
   144.2s           Esus2         0.1s
   144.2s            EmM7         0.1s
   144.3s             EM7         0.0s
   144.3s          E6sus4         0.0s
   144.4s            EmM7         0.1s
   144.5s            EmM7         0.0s
   144.5s          E6sus4         0.0s
   144.5s            EmM7         0.3s
   144.8s           Asus2         0.9s
   145.8s           Bsus2         0.1s
   145.8s           Bm6/9         0.8s
   146.7s             E11         0.0s
   146.7s            Am11         0.1s
   146.8s            Bm11         0.0s
   146.8s            BmM7         0.4s
   147.2s       A#maj7#11         0.0s
   147.2s            BmM7         0.1s
   147.3s          B6sus4         0.0s
   147.3s            BmM7         0.2s
   147.5s            BmM7         0.0s
   147.5s       A#maj7#11         0.1s
   147.6s             FM9         0.0s
   147.6s       A#maj7#11         0.0s
   147.7s            BmM7         0.0s
   147.7s            A#M9         0.1s
   147.8s            Am13         0.2s
   148.0s             CM7         0.2s
   148.2s          C6sus4         0.1s
   148.3s          C6sus4         0.2s
   148.6s             CM7         0.2s
   148.8s           Csus2         0.1s
   148.8s             C11         0.1s
   148.9s            CmM7         0.1s
   149.0s          C6sus4         0.1s
   149.1s             C13         0.1s
   149.2s             C13         0.0s
   149.2s             CM9         0.0s
   149.2s             CM7         0.0s
   149.3s            CmM7         0.3s
   149.6s       A#maj7#11         0.0s
   149.7s            BmM7         0.2s
   149.9s             BM9         1.3s
   151.1s          D6sus4         0.4s
   151.6s             D11         0.3s
   151.9s            Bm11         0.7s
   152.6s          E6sus4         0.2s
   152.8s             CM9         0.0s
   152.8s          E6sus4         0.1s
   152.9s             E11         0.0s
   153.0s            Am11         0.6s
   153.5s            Em11         0.3s
   153.8s             A11         0.0s
   153.8s            Bm11         0.0s
   153.8s            BmM7         0.1s
   153.9s             AM9         0.0s
   154.0s            Am13         0.8s
   154.8s            BmM7         0.2s
   154.9s            Bm13         0.0s
   154.9s            BmM7         0.1s
   155.0s            BmM7         0.2s
   155.2s            Daug         0.0s
   155.2s          D6sus4         0.7s
   155.9s            Dm11         0.0s
   155.9s            Dm13         0.1s
   156.0s             D11         0.0s
   156.0s            Bm11         0.0s
   156.1s             C11         1.6s
   157.6s            CmM7         0.2s
   157.8s            CmM7         0.0s
   157.9s            Am13         0.2s
   158.1s            G#M9         0.1s
   158.2s       F#maj7#11         0.5s
   158.7s            Bm13         0.0s
   158.7s             BM9         1.1s
   159.8s             DM7         0.0s
   159.8s             DM9         0.0s
   159.8s            Bm11         0.0s
   159.9s            Dm13         0.0s
   159.9s             E11         0.1s
   160.0s          E6sus4         0.2s
   160.2s            E7#9         0.2s
   160.4s           Esus2         0.1s
   160.5s            EmM7         0.1s
   160.7s          E6sus4         0.3s
   161.0s          E6sus4         0.2s
   161.1s           Esus2         0.0s
   161.2s            EmM7         0.2s
   161.4s            EmM7         0.2s
   161.6s            Em11         0.0s
   161.6s        Bmaj7#11         0.0s
   161.7s            B7#9         0.0s
   161.7s            Dm11         0.3s
   161.9s        Emaj7#11         0.0s
   162.0s          E6sus4         0.1s
   162.1s        Emaj7#11         0.1s
   162.2s            Bm11         0.0s
   162.2s       A#maj7#11         0.1s
   162.3s            A#11         0.0s
   162.4s            Bm13         0.0s
   162.4s            B7#9         0.0s
   162.4s             B13         0.6s
   163.0s             BM9         0.0s
   163.0s             B13         0.1s
   163.1s          B6sus4         0.0s
   163.1s            Bm13         0.1s
   163.3s           Bm6/9         0.5s
   163.8s             D11         0.3s
   164.1s            BmM7         0.3s
   164.4s            Bm13         0.0s
   164.4s            Bm11         0.0s
   164.4s             D11         0.0s
   164.4s            Bm11         0.0s
   164.5s             E11         0.2s
   164.6s          E6sus4         0.1s
   164.8s             EM9         0.0s
   164.8s          E6sus4         0.3s
   165.1s          E6sus4         0.9s
   166.0s             G13         0.0s
   166.0s            E7#9         0.3s
   166.4s        Emaj7#11         0.1s
   166.5s            G7#9         0.1s
   166.5s        Bmaj7#11         0.3s
   166.8s            BmM7         0.0s
   166.8s             BM9         0.0s
   166.9s           Bsus2         0.5s
   167.4s          B6sus4         0.3s
   167.7s            BmM7         1.1s
   168.9s            Em11         0.1s
   168.9s           Esus4         0.2s
   169.2s             E11         0.0s
   169.2s           Dsus2         0.2s
   169.4s          E6sus4         0.0s
   169.4s             CM9         0.1s
   169.6s            Em13         0.3s
   169.8s       A#maj7#11         0.0s
   169.9s            BmM7         0.3s
   170.1s             A11         0.1s
   170.2s             A11         0.1s
   170.3s            Em11         0.0s
   170.3s             A13         0.2s
   170.6s           C7#11         0.0s
   170.6s            Em11         0.0s
   170.6s       A#maj7#11         0.0s
   170.7s            Am13         0.3s
   170.9s            Bm11         0.0s
   171.0s             B11         0.2s
   171.1s          Badd11         0.0s
   171.2s             BM9         0.0s
   171.2s          B6sus4         0.1s
   171.2s            Bm11         0.8s
   172.0s             DM9         0.4s
   172.4s             DM7         0.1s
   172.5s          Dadd11         0.2s
   172.6s             D13         0.2s
   172.8s            Bm11         0.0s
   172.8s            A7#9         0.0s
   172.9s            Am13         0.0s
   172.9s           C7#11         0.0s
   172.9s        Cmaj7#11         0.3s
   173.2s             CM7         0.3s
   173.5s           Csus2         0.2s
   173.7s          Cadd11         0.0s
   173.7s             C11         0.1s
   173.9s             C11         0.0s
   173.9s          Cadd11         0.2s
   174.1s             CM7         0.5s
   174.6s             C11         0.1s
   174.6s           Csus2         0.1s
   174.8s            Am11         0.1s
   174.9s            Am13         0.0s
   174.9s            Bm13         0.0s
   175.0s           F#7#9         0.0s
   175.0s            Am13         0.3s
   175.3s             B13         0.1s
   175.4s           Esus2         0.0s
   175.4s           Bsus4         0.0s
   175.4s             B11         0.0s
   175.4s           Bsus2         0.2s
   175.6s            Bm11         0.9s
   176.5s          D6sus4         0.5s
   177.0s            Bm13         0.3s
   177.3s             E11         0.0s
   177.3s            Em13         0.4s
   177.7s            Em11         0.2s
   177.9s             E11         0.2s
   178.1s            Em11         0.0s
   178.1s            EmM7         0.2s
   178.3s       A#maj7#11         0.0s
   178.3s            BmM7         0.0s
   178.3s            Bm11         0.2s
   178.5s          E6sus4         0.3s
   178.9s            Em11         0.0s
   178.9s        Emaj7#11         0.0s
   178.9s        Bmaj7#11         0.0s
   178.9s            BmM7         0.0s
   179.0s           E7#11         0.0s
   179.0s        Emaj7#11         0.0s
   179.0s           E7#11         0.3s
   179.4s             B13         0.0s
   179.4s             BM9         0.1s
   179.5s          B6sus4         0.0s
   179.5s             BM9         0.1s
   179.6s             B11         0.0s
   179.6s            Bm11         0.3s
   179.9s            BmM7         0.6s
   180.5s            Bm11         0.2s
   180.7s             DM7         0.3s
   181.0s             D13         0.1s
   181.2s        Dmaj7#11         0.4s
   181.6s          Eadd11         0.7s
   182.3s             A13         0.0s
   182.3s            Am13         0.2s
   182.5s            Am11         0.0s
   182.6s            Am13         0.2s
   182.7s           Esus2         0.3s
   183.0s             GM9         0.0s
   183.0s             G13         0.2s
   183.3s        Fmaj7#11         0.0s
   183.3s        Cmaj7#11         0.0s
   183.3s            Bm11         0.4s
   183.7s           Bm6/9         0.0s
   183.7s             GM7         0.2s
   183.9s             GM7         1.0s
   184.9s             DM7         0.5s
   185.5s             E11         0.6s
   186.1s           Esus2         1.3s
   187.4s            Am11         0.0s
   187.5s            Bm13         0.0s
   187.5s            B7#9         0.1s
   187.6s             BM9         0.2s
   187.8s            Bm13         0.0s
   187.8s            Bm11         0.5s
   188.4s          B6sus4         0.0s
   188.4s           Bsus2         0.0s
   188.4s            BmM7         0.3s
   188.7s             DM9         0.5s
   189.2s              D6         0.3s
   189.5s             GM9         0.1s
   189.7s            Am13         0.0s
   189.7s        Cmaj7#11         0.6s
